Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income
2001,Large (1000+),Female,12.0,47.0,0.0,162400,45500,4230,1994300
2001,Large (1000+),Female,12.0,47.0,1.5,169600,269500,5210,2304700
2001,Large (1000+),Female,12.0,47.0,3.5,192800,481300,5650,2794900
2001,Large (1000+),Female,12.0,47.0,7.0,209200,640400,10520,3150800
2001,Large (1000+),Female,12.0,47.0,12.0,235500,784400,9370,3610400
2001,Large (1000+),Female,12.0,47.0,17.0,267600,955900,6570,4167100
2001,Large (1000+),Female,12.0,47.0,22.0,298600,1090700,5130,4673900
2001,Large (1000+),Female,12.0,47.0,27.0,358500,1753500,25540,6055500
2001,Large (1000+),Female,12.0,47.0,30.0,370800,1860000,9550,6309600
2001,Large (1000+),Female,12.0,52.0,0.0,184900,120100,3030,2338900
2001,Large (1000+),Female,12.0,52.0,1.5,169400,256500,4320,2289300
2001,Large (1000+),Female,12.0,52.0,3.5,173100,428000,4200,2505200
2001,Large (1000+),Female,12.0,52.0,7.0,213100,641400,10740,3198600
2001,Large (1000+),Female,12.0,52.0,12.0,235000,787100,15270,3607100
2001,Large (1000+),Female,12.0,52.0,17.0,282800,991200,13070,4384800
2001,Large (1000+),Female,12.0,52.0,22.0,327300,1288200,7040,5215800
2001,Large (1000+),Female,12.0,52.0,27.0,363400,1692700,6930,6053500
2001,Large (1000+),Female,12.0,52.0,30.0,390000,1899900,21780,6579900
2001,Large (1000+),Female,12.0,57.0,0.0,166300,53600,1380,2049200
2001,Large (1000+),Female,12.0,57.0,1.5,190300,339700,2390,2623300
2001,Large (1000+),Female,12.0,57.0,3.5,172800,375800,2220,2449400
2001,Large (1000+),Female,12.0,57.0,7.0,223600,719500,4180,3402700
2001,Large (1000+),Female,12.0,57.0,12.0,231300,628800,8430,3404400
2001,Large (1000+),Female,12.0,57.0,17.0,240300,783200,7620,3666800
2001,Large (1000+),Female,12.0,57.0,22.0,295700,1075700,7420,4624100
2001,Large (1000+),Female,12.0,57.0,27.0,325500,1340000,3250,5246000
2001,Large (1000+),Female,12.0,57.0,30.0,394100,1931200,9080,6660400
2001,Large (1000+),Female,12.0,62.0,0.0,173100,562000,240,2639200
2001,Large (1000+),Female,12.0,62.0,1.5,186600,363900,1260,2603100
2001,Large (1000+),Female,12.0,62.0,3.5,150200,244700,680,2047100
2001,Large (1000+),Female,12.0,62.0,7.0,163300,344500,1070,2304100
2001,Large (1000+),Female,12.0,62.0,12.0,208100,562900,1950,3060100
2001,Large (1000+),Female,12.0,62.0,17.0,228100,631500,1960,3368700
2001,Large (1000+),Female,12.0,62.0,22.0,302000,805300,2020,4429300
2001,Large (1000+),Female,12.0,62.0,27.0,281200,877500,1190,4251900
2001,Large (1000+),Female,12.0,62.0,30.0,466300,2000100,730,7595700
2001,Large (1000+),Female,12.0,65.0,0.0,179900,0,20,2158800
2001,Large (1000+),Female,12.0,65.0,1.5,175300,108400,220,2212000
2001,Large (1000+),Female,12.0,65.0,3.5,224400,768600,70,3461400
2001,Large (1000+),Female,12.0,65.0,7.0,151200,311200,170,2125600
2001,Large (1000+),Female,12.0,65.0,12.0,196600,334600,240,2693800
2001,Large (1000+),Female,12.0,65.0,17.0,182100,518600,530,2703800
2001,Large (1000+),Female,12.0,65.0,22.0,211600,593500,380,3132700
2001,Large (1000+),Female,12.0,65.0,27.0,284900,651800,680,4070600
2001,Large (1000+),Female,12.0,65.0,30.0,317200,929700,870,4736100
2001,Large (1000+),Female,14.0,22.0,0.0,187700,40500,25310,2292900
2001,Large (1000+),Female,14.0,22.0,1.5,199200,664600,53030,3055000
2001,Large (1000+),Female,14.0,22.0,3.5,205000,850700,40710,3310700
2001,Large (1000+),Female,14.0,22.0,7.0,216900,813600,520,3416400
2001,Large (1000+),Female,14.0,27.0,0.0,199500,88700,7900,2482700
2001,Large (1000+),Female,14.0,27.0,1.5,209300,540700,15290,3052300
2001,Large (1000+),Female,14.0,27.0,3.5,227900,890000,26460,3624800
2001,Large (1000+),Female,14.0,27.0,7.0,236100,1005000,96270,3838200
2001,Large (1000+),Female,14.0,27.0,12.0,250000,975800,650,3975800
2001,Large (1000+),Female,14.0,32.0,0.0,203100,33700,3530,2470900
2001,Large (1000+),Female,14.0,32.0,1.5,220500,593400,6050,3239400
2001,Large (1000+),Female,14.0,32.0,3.5,242800,854500,5170,3768100
2001,Large (1000+),Female,14.0,32.0,7.0,264800,1075300,20110,4252900
2001,Large (1000+),Female,14.0,32.0,12.0,272100,1211900,63250,4477100
2001,Large (1000+),Female,14.0,32.0,17.0,310600,1535000,100,5262200
2001,Large (1000+),Female,14.0,37.0,0.0,181900,36800,1870,2219600
2001,Large (1000+),Female,14.0,37.0,1.5,218800,544400,3370,3170000
2001,Large (1000+),Female,14.0,37.0,3.5,263100,981400,3250,4138600
2001,Large (1000+),Female,14.0,37.0,7.0,274700,1113600,6170,4410000
2001,Large (1000+),Female,14.0,37.0,12.0,304500,1338200,9570,4992200
2001,Large (1000+),Female,14.0,37.0,17.0,317600,1505200,23890,5316400
2001,Large (1000+),Female,14.0,37.0,22.0,354200,1383600,250,5634000
2001,Large (1000+),Female,14.0,42.0,0.0,159900,12600,1290,1931400
2001,Large (1000+),Female,14.0,42.0,1.5,195700,389700,2330,2738100
2001,Large (1000+),Female,14.0,42.0,3.5,203500,635900,1670,3077900
2001,Large (1000+),Female,14.0,42.0,7.0,265300,1012000,4160,4195600
2001,Large (1000+),Female,14.0,42.0,12.0,308200,1257200,3990,4955600
2001,Large (1000+),Female,14.0,42.0,17.0,364600,1599300,5430,5974500
2001,Large (1000+),Female,14.0,42.0,22.0,364900,1827500,14390,6206300
2001,Large (1000+),Female,14.0,42.0,27.0,387700,2001500,180,6653900
2001,Large (1000+),Female,14.0,47.0,0.0,180500,20500,1020,2186500
2001,Large (1000+),Female,14.0,47.0,1.5,215000,293400,1770,2873400
2001,Large (1000+),Female,14.0,47.0,3.5,221100,720100,1550,3373300
2001,Large (1000+),Female,14.0,47.0,7.0,269100,918600,3850,4147800
2001,Large (1000+),Female,14.0,47.0,12.0,294000,1180400,3250,4708400
2001,Large (1000+),Female,14.0,47.0,17.0,371900,1492300,2700,5955100
2001,Large (1000+),Female,14.0,47.0,22.0,394600,1904800,3950,6640000
