Year,Size,Gender,Education,Age,Service_Length,Monthly_Wage,Annual_Bonus,Employees,Total_Annual_Income
2001,Large (1000+),Female,14,37,7,322400,1405800,280,5274600
2001,Large (1000+),Female,14,37,12,290600,1342400,1350,4829600
2001,Large (1000+),Female,14,37,17,284200,1347000,4330,4757400
2001,Large (1000+),Female,14,37,22,319700,1150400,70,4986800
2001,Large (1000+),Female,14,42,0,154400,5900,110,1858700
2001,Large (1000+),Female,14,42,1.5,199100,460400,170,2849600
2001,Large (1000+),Female,14,42,3.5,184000,507700,230,2715700
2001,Large (1000+),Female,14,42,7,291400,1176600,600,4673400
2001,Large (1000+),Female,14,42,12,259300,1154100,360,4265700
2001,Large (1000+),Female,14,42,17,347800,1684200,780,5857800
2001,Large (1000+),Female,14,42,22,331200,1697100,2640,5671500
2001,Large (1000+),Female,14,47,0,142900,198100,50,1912900
2001,Large (1000+),Female,14,47,1.5,178300,288500,110,2428100
2001,Large (1000+),Female,14,47,3.5,168800,570000,50,2595600
2001,Large (1000+),Female,14,47,7,188100,725600,210,2982800
2001,Large (1000+),Female,14,47,12,207700,836400,140,3328800
2001,Large (1000+),Female,14,47,17,274000,1251500,160,4539500
2001,Large (1000+),Female,14,47,22,354200,1782500,470,6032900
2001,Large (1000+),Female,14,47,27,347400,1551700,1370,5720500
2001,Large (1000+),Female,14,47,30,315800,1816200,20,5605800
2001,Large (1000+),Female,14,52,0,184300,192400,60,2404000
2001,Large (1000+),Female,14,52,1.5,160400,416900,40,2341700
2001,Large (1000+),Female,14,52,3.5,155000,580500,20,2440500
2001,Large (1000+),Female,14,52,7,434500,2775700,480,7989700
2001,Large (1000+),Female,14,52,12,217600,866500,240,3477700
2001,Large (1000+),Female,14,52,17,367800,1786200,250,6199800
2001,Large (1000+),Female,14,52,22,314300,1563400,120,5335000
2001,Large (1000+),Female,14,52,27,391900,1899100,250,6601900
2001,Large (1000+),Female,14,52,30,365800,1859900,610,6249500
2001,Large (1000+),Female,14,57,7,156200,664500,20,2538900
2001,Large (1000+),Female,14,57,12,191800,827600,150,3129200
2001,Large (1000+),Female,14,57,17,245500,1350200,80,4296200
2001,Large (1000+),Female,14,57,22,200100,450500,50,2851700
2001,Large (1000+),Female,14,57,27,364200,1715100,20,6085500
2001,Large (1000+),Female,14,57,30,445800,2211000,150,7560600
2001,Large (1000+),Female,14,62,17,149300,335800,40,2127400
2001,Large (1000+),Female,14,62,22,407800,1957900,20,6851500
2001,Large (1000+),Female,14,62,27,257100,764300,10,3849500
2001,Large (1000+),Female,14,62,30,465700,2271300,10,7859700
2001,Large (1000+),Female,14,65,30,505000,1700000,20,7760000
2001,Large (1000+),Female,16,22,0,204200,48100,3020,2498500
2001,Large (1000+),Female,16,22,1.5,217800,730600,3340,3344200
2001,Large (1000+),Female,16,22,3.5,184400,744200,50,2957000
2001,Large (1000+),Female,16,27,0,233000,42900,1060,2838900
2001,Large (1000+),Female,16,27,1.5,244400,1014000,3460,3946800
2001,Large (1000+),Female,16,27,3.5,237800,1056100,6130,3909700
2001,Large (1000+),Female,16,27,7,254000,1204300,3920,4252300
2001,Large (1000+),Female,16,27,12,209400,678300,10,3191100
2001,Large (1000+),Female,16,32,0,288600,92100,440,3555300
2001,Large (1000+),Female,16,32,1.5,276900,1008700,420,4331500
2001,Large (1000+),Female,16,32,3.5,296000,1434400,530,4986400
2001,Large (1000+),Female,16,32,7,301000,1510300,6580,5122300
2001,Large (1000+),Female,16,32,12,310300,1528900,3950,5252500
2001,Large (1000+),Female,16,37,0,375800,891300,380,5400900
2001,Large (1000+),Female,16,37,1.5,558300,3244200,520,9943800
2001,Large (1000+),Female,16,37,3.5,403600,2584900,400,7428100
2001,Large (1000+),Female,16,37,7,434800,2488700,480,7706300
2001,Large (1000+),Female,16,37,12,367500,1810700,3190,6220700
2001,Large (1000+),Female,16,37,17,401300,2298500,1490,7114100
2001,Large (1000+),Female,16,42,0,713800,0,100,8565600
2001,Large (1000+),Female,16,42,1.5,263500,891000,10,4053000
2001,Large (1000+),Female,16,42,3.5,524500,2259000,150,8553000
2001,Large (1000+),Female,16,42,7,628100,3621900,220,11159100
2001,Large (1000+),Female,16,42,12,368500,1894500,230,6316500
2001,Large (1000+),Female,16,42,17,457600,2542000,1060,8033200
2001,Large (1000+),Female,16,42,22,439500,2169700,640,7443700
2001,Large (1000+),Female,16,42,27,374000,2231200,60,6719200
2001,Large (1000+),Female,16,47,0,601400,0,30,7216800
2001,Large (1000+),Female,16,47,1.5,349900,1532900,10,5731700
2001,Large (1000+),Female,16,47,3.5,155800,359800,90,2229400
2001,Large (1000+),Female,16,47,7,223600,1121900,60,3805100
2001,Large (1000+),Female,16,47,12,492300,2845800,90,8753400
2001,Large (1000+),Female,16,47,17,474200,3409900,110,9100300
2001,Large (1000+),Female,16,47,22,519000,3411000,210,9639000
2001,Large (1000+),Female,16,47,27,489200,2619200,100,8489600
2001,Large (1000+),Female,16,52,3.5,169100,320000,20,2349200
2001,Large (1000+),Female,16,52,7,252500,815500,10,3845500
2001,Large (1000+),Female,16,52,12,444600,2468900,60,7804100
2001,Large (1000+),Female,16,52,17,486700,2368900,50,8209300
2001,Large (1000+),Female,16,52,22,327600,1697600,50,5628800
2001,Large (1000+),Female,16,52,27,631900,3920000,280,11502800
2001,Large (1000+),Female,16,52,30,518800,3113400,140,9339000
2001,Large (1000+),Female,16,57,7,222800,460000,20,3133600
2001,Large (1000+),Female,16,57,12,653300,3788600,20,11628200
2001,Large (1000+),Female,16,57,17,495600,2740000,80,8687200
2001,Large (1000+),Female,16,57,30,425900,1999400,170,7110200
2001,Large (1000+),Female,16,62,30,801400,6536700,20,16153500
2001,Large (1000+),Female,16,65,17,195200,888000,10,3230400
2001,Large (1000+),Male,9,18.5,0,181100,0,160,2173200
2001,Large (1000+),Male,9,18.5,3.5,191500,591600,180,2889600
2001,Large (1000+),Male,9,22,0,225700,24200,360,2732600
2001,Large (1000+),Male,9,22,1.5,186400,414900,200,2651700
2001,Large (1000+),Male,9,22,3.5,198700,442000,280,2826400
2001,Large (1000+),Male,9,22,7,199300,718100,440,3109700
2001,Large (1000+),Male,9,27,0,224300,88700,190,2780300
2001,Large (1000+),Male,9,27,1.5,234800,681900,220,3499500
2001,Large (1000+),Male,9,27,3.5,225000,564500,140,3264500
2001,Large (1000+),Male,9,27,7,234400,867900,1180,3680700
2001,Large (1000+),Male,9,27,12,249400,1054800,660,4047600
2001,Large (1000+),Male,9,32,0,224800,30400,230,2728000
2001,Large (1000+),Male,9,32,1.5,224500,382800,140,3076800
2001,Large (1000+),Male,9,32,3.5,239900,1035400,240,3914200
2001,Large (1000+),Male,9,32,7,269900,1351500,920,4590300
2001,Large (1000+),Male,9,32,12,289300,1151400,1100,4623000
2001,Large (1000+),Male,9,32,17,301500,1232900,1000,4850900
2001,Large (1000+),Male,9,37,0,227800,49300,200,2782900
2001,Large (1000+),Male,9,37,1.5,176800,60300,90,2181900
2001,Large (1000+),Male,9,37,3.5,270100,1192400,70,4433600
2001,Large (1000+),Male,9,37,7,297700,1133500,580,4705900
2001,Large (1000+),Male,9,37,12,304600,1239600,940,4894800
2001,Large (1000+),Male,9,37,17,330100,1407000,1140,5368200
2001,Large (1000+),Male,9,37,22,324800,1326400,1490,5224000
2001,Large (1000+),Male,9,42,0,183000,0,60,2196000
2001,Large (1000+),Male,9,42,1.5,224300,29800,70,2721400
2001,Large (1000+),Male,9,42,3.5,264800,1184200,40,4361800
2001,Large (1000+),Male,9,42,7,308800,1189900,520,4895500
2001,Large (1000+),Male,9,42,12,317600,1299300,1070,5110500
2001,Large (1000+),Male,9,42,17,337000,1394100,450,5438100
2001,Large (1000+),Male,9,42,22,335900,1394100,900,5424900
2001,Large (1000+),Male,9,42,27,351800,1528000,6480,5749600
2001,Large (1000+),Male,9,47,0,240400,27200,190,2912000
2001,Large (1000+),Male,9,47,1.5,229600,258900,10,3014100
2001,Large (1000+),Male,9,47,3.5,168800,130100,30,2155700
2001,Large (1000+),Male,9,47,7,273300,1104500,400,4384100
2001,Large (1000+),Male,9,47,12,312900,1187000,850,4941800
2001,Large (1000+),Male,9,47,17,337400,1416000,1060,5464800
2001,Large (1000+),Male,9,47,22,343300,1475200,1440,5594800
2001,Large (1000+),Male,9,47,27,362600,1561400,5530,5912600
2001,Large (1000+),Male,9,47,30,380900,1687800,18900,6258600
2001,Large (1000+),Male,9,52,0,301200,34600,80,3649000
2001,Large (1000+),Male,9,52,1.5,183100,135600,120,2332800
2001,Large (1000+),Male,9,52,3.5,277200,915400,60,4241800
2001,Large (1000+),Male,9,52,7,318700,1264800,770,5089200
2001,Large (1000+),Male,9,52,12,317400,1192200,860,5001000
2001,Large (1000+),Male,9,52,17,343400,1493300,1170,5614100
2001,Large (1000+),Male,9,52,22,362200,1570100,2260,5916500
2001,Large (1000+),Male,9,52,27,377000,1647000,7050,6171000
2001,Large (1000+),Male,9,52,30,410300,1853500,44290,6777100
2001,Large (1000+),Male,9,57,0,368300,62800,50,4482400
2001,Large (1000+),Male,9,57,1.5,263100,715100,90,3872300
2001,Large (1000+),Male,9,57,3.5,219400,545000,310,3177800
2001,Large (1000+),Male,9,57,7,249100,805700,520,3794900
2001,Large (1000+),Male,9,57,12,306800,1019100,280,4700700
2001,Large (1000+),Male,9,57,17,358400,1637900,860,5938700
2001,Large (1000+),Male,9,57,22,338400,1421200,1240,5482000
2001,Large (1000+),Male,9,57,27,363100,1545500,5690,5902700
2001,Large (1000+),Male,9,57,30,415100,1863400,48320,6844600
2001,Large (1000+),Male,9,62,0,182300,307000,200,2494600
2001,Large (1000+),Male,9,62,1.5,204900,484500,240,2943300
2001,Large (1000+),Male,9,62,3.5,307400,1501500,60,5190300
2001,Large (1000+),Male,9,62,7,234500,450800,30,3264800
2001,Large (1000+),Male,9,62,12,282700,239300,50,3631700
2001,Large (1000+),Male,9,62,17,211900,372800,30,2915600
2001,Large (1000+),Male,9,62,22,238200,561800,50,3420200
2001,Large (1000+),Male,9,62,27,383200,1290100,220,5888500
2001,Large (1000+),Male,9,62,30,396600,1791500,1360,6550700
2001,Large (1000+),Male,9,65,0,177800,0,10,2133600
2001,Large (1000+),Male,9,65,3.5,189200,494200,40,2764600
2001,Large (1000+),Male,9,65,7,193000,449100,70,2765100
2001,Large (1000+),Male,9,65,12,228500,40000,30,2782000
2001,Large (1000+),Male,9,65,22,214600,0,10,2575200
2001,Large (1000+),Male,9,65,30,481700,800000,10,6580400
2001,Large (1000+),Male,12,18.5,0,171000,30900,8160,2082900
2001,Large (1000+),Male,12,18.5,1.5,182400,486900,6800,2675700
2001,Large (1000+),Male,12,18.5,3.5,215600,515800,70,3103000
2001,Large (1000+),Male,12,22,0,189100,65300,3490,2334500
2001,Large (1000+),Male,12,22,1.5,187500,656700,19130,2906700
2001,Large (1000+),Male,12,22,3.5,197800,761200,34340,3134800
2001,Large (1000+),Male,12,22,7,211700,836300,22560,3376700
2001,Large (1000+),Male,12,27,0,212900,70100,2530,2624900
2001,Large (1000+),Male,12,27,1.5,218000,521200,4520,3137200
2001,Large (1000+),Male,12,27,3.5,226400,915800,5520,3632600
2001,Large (1000+),Male,12,27,7,234300,955800,80480,3767400
2001,Large (1000+),Male,12,27,12,257900,1082800,50920,4177600
2001,Large (1000+),Male,12,32,0,219300,87800,1310,2719400
2001,Large (1000+),Male,12,32,1.5,226800,574200,1840,3295800
2001,Large (1000+),Male,12,32,3.5,259300,954700,3900,4066300
2001,Large (1000+),Male,12,32,7,264400,1100400,10840,4273200
2001,Large (1000+),Male,12,32,12,282300,1210200,70580,4597800
2001,Large (1000+),Male,12,32,17,310500,1382000,37440,5108000
2001,Large (1000+),Male,12,37,0,239800,17100,1150,2894700
2001,Large (1000+),Male,12,37,1.5,246600,435800,1170,3395000
2001,Large (1000+),Male,12,37,3.5,280600,863000,1320,4230200
2001,Large (1000+),Male,12,37,7,299000,1239900,5760,4827900
2001,Large (1000+),Male,12,37,12,304000,1280200,16850,4928200
2001,Large (1000+),Male,12,37,17,334100,1493400,72800,5502600
2001,Large (1000+),Male,12,37,22,353000,1613500,37290,5849500
2001,Large (1000+),Male,12,42,0,270500,15500,760,3261500
2001,Large (1000+),Male,12,42,1.5,276200,435100,740,3749500
2001,Large (1000+),Male,12,42,3.5,272600,599300,830,3870500
2001,Large (1000+),Male,12,42,7,321000,1225600,3780,5077600
2001,Large (1000+),Male,12,42,12,327100,1398800,7410,5324000
2001,Large (1000+),Male,12,42,17,352300,1578500,12060,5806100
2001,Large (1000+),Male,12,42,22,379700,1764800,50870,6321200
2001,Large (1000+),Male,12,42,27,396300,1821600,26100,6577200
2001,Large (1000+),Male,12,47,0,233100,95700,760,2892900
2001,Large (1000+),Male,12,47,1.5,274300,642300,620,3933900
2001,Large (1000+),Male,12,47,3.5,247800,552400,620,3526000
2001,Large (1000+),Male,12,47,7,316900,1225300,2070,5028100
2001,Large (1000+),Male,12,47,12,317500,1220500,3470,5030500
2001,Large (1000+),Male,12,47,17,363700,1680900,4180,6045300
2001,Large (1000+),Male,12,47,22,382200,1756900,8360,6343300
2001,Large (1000+),Male,12,47,27,418600,1960300,78100,6983500
2001,Large (1000+),Male,12,47,30,443400,2104500,51680,7425300
2001,Large (1000+),Male,12,52,0,220900,187500,570,2838300
2001,Large (1000+),Male,12,52,1.5,291400,754100,650,4250900
2001,Large (1000+),Male,12,52,3.5,273000,770700,570,4046700
2001,Large (1000+),Male,12,52,7,301200,1049300,1850,4663700
2001,Large (1000+),Male,12,52,12,333300,1294400,3020,5294000
2001,Large (1000+),Male,12,52,17,367100,1507500,2740,5912700
2001,Large (1000+),Male,12,52,22,386300,1734500,4560,6370100
2001,Large (1000+),Male,12,52,27,411500,1861100,18040,6799100
2001,Large (1000+),Male,12,52,30,470300,2292300,128670,7935900
2001,Large (1000+),Male,12,57,0,457600,301500,290,5792700
2001,Large (1000+),Male,12,57,1.5,317400,939700,760,4748500
2001,Large (1000+),Male,12,57,3.5,356600,1401200,1180,5680400
2001,Large (1000+),Male,12,57,7,288600,952500,1560,4415700
2001,Large (1000+),Male,12,57,12,357700,1352000,1060,5644400
2001,Large (1000+),Male,12,57,17,351500,1337600,960,5555600
2001,Large (1000+),Male,12,57,22,358500,1466500,1630,5768500
2001,Large (1000+),Male,12,57,27,394000,1790800,5070,6518800
2001,Large (1000+),Male,12,57,30,476500,2363700,79430,8081700
2001,Large (1000+),Male,12,62,0,176600,661100,220,2780300
2001,Large (1000+),Male,12,62,1.5,280100,1088600,550,4449800
2001,Large (1000+),Male,12,62,3.5,417300,1554000,230,6561600
2001,Large (1000+),Male,12,62,7,267700,967500,350,4179900
2001,Large (1000+),Male,12,62,12,231700,551000,170,3331400
2001,Large (1000+),Male,12,62,17,225100,797600,70,3498800
2001,Large (1000+),Male,12,62,22,358900,2370700,280,6677500
2001,Large (1000+),Male,12,62,27,379700,1455400,230,6011800
2001,Large (1000+),Male,12,62,30,421100,2335900,1730,7389100
2001,Large (1000+),Male,12,65,0,164000,57900,50,2025900
2001,Large (1000+),Male,12,65,1.5,159800,282100,10,2199700
2001,Large (1000+),Male,12,65,3.5,159300,400000,10,2311600
2001,Large (1000+),Male,12,65,7,155800,236500,30,2106100
2001,Large (1000+),Male,12,65,12,251900,487200,70,3510000
2001,Large (1000+),Male,12,65,22,285400,602000,10,4026800
2001,Large (1000+),Male,12,65,27,224500,605500,20,3299500
2001,Large (1000+),Male,12,65,30,295000,1402700,60,4942700
2001,Large (1000+),Male,14,22,0,180700,26600,1520,2195000
2001,Large (1000+),Male,14,22,1.5,194000,669000,4260,2997000
2001,Large (1000+),Male,14,22,3.5,206300,909900,4210,3385500
2001,Large (1000+),Male,14,22,7,209300,884200,140,3395800
2001,Large (1000+),Male,14,27,0,211400,31900,480,2568700
2001,Large (1000+),Male,14,27,1.5,217100,576600,610,3181800
2001,Large (1000+),Male,14,27,3.5,218700,850800,2150,3475200
2001,Large (1000+),Male,14,27,7,253000,1124900,12310,4160900
2001,Large (1000+),Male,14,27,12,280000,1253300,490,4613300
2001,Large (1000+),Male,14,32,0,261600,88700,530,3227900
2001,Large (1000+),Male,14,32,1.5,267900,718600,580,3933400
2001,Large (1000+),Male,14,32,3.5,261100,1069700,700,4202900
2001,Large (1000+),Male,14,32,7,283500,1303500,3210,4705500
2001,Large (1000+),Male,14,32,12,311000,1393700,13190,5125700
2001,Large (1000+),Male,14,32,17,295700,1331800,300,4880200
2001,Large (1000+),Male,14,37,0,233400,54500,40,2855300
2001,Large (1000+),Male,14,37,1.5,318800,1108500,130,4934100
2001,Large (1000+),Male,14,37,3.5,310000,1404100,160,5124100
2001,Large (1000+),Male,14,37,7,339400,1685900,820,5758700
2001,Large (1000+),Male,14,37,12,321000,1430200,2420,5282200
2001,Large (1000+),Male,14,37,17,385100,1864000,10770,6485200
2001,Large (1000+),Male,14,37,22,352200,1476700,230,5703100
2001,Large (1000+),Male,14,42,0,223800,100,50,2685700
2001,Large (1000+),Male,14,42,1.5,292400,755000,30,4263800
2001,Large (1000+),Male,14,42,3.5,319800,1375800,210,5213400
2001,Large (1000+),Male,14,42,7,374300,1705900,460,6197500
2001,Large (1000+),Male,14,42,12,339000,1549900,1100,5617900
2001,Large (1000+),Male,14,42,17,410600,1985400,1840,6912600
