年,産業分類,規模,現金給与総額,きまって支給する給与,所定内給与,所定外給与,特別給与,総実労働時間,所定内労働時間,所定外労働時間,出勤日数,前月末労働者数,本月末労働者数,増加労働者数,減少労働者数
1998,F,4,664770.0,466323.0,417600.0,48723.0,198447.0,158.1,145.6,12.5,19.1,39258.0,39219.0,475.0,514.0
1998,F,M,578297.6666666666,415480.3333333333,375742.6666666667,39737.666666666664,162817.33333333334,156.76666666666668,146.16666666666666,10.6,19.233333333333334,266265.0,266318.0,3379.0,3473.0
1998,F,T,596821.0,427260.0,384708.0,42552.0,169561.0,156.6,145.5,11.1,19.2,305523.0,305538.0,3853.0,3986.0
1998,TL,4,553049.0,400920.0,360324.0,40596.0,152129.0,162.1,147.6,14.5,19.4,4070660.0,4065234.0,42406.0,47814.0
1998,TL,M,414250.6666666667,322679.3333333333,302130.3333333333,20549.0,91571.33333333333,167.5,156.4,11.1,20.666666666666668,30587485.0,30536841.0,427879.0,480496.0
1998,TL,T,419095.0,326102.0,304847.0,21255.0,92993.0,167.5,156.4,11.1,20.7,34658144.0,34602074.0,470285.0,528309.0
1999,C,M,439923.3333333333,343646.0,319258.3333333333,24387.666666666668,96277.33333333333,167.26666666666668,155.79999999999998,11.466666666666667,20.866666666666664,41403.0,41254.0,451.0,596.0
1999,C,T,386585.0,318227.0,291531.0,26696.0,68358.0,175.9,162.0,13.9,21.6,44729.0,44578.0,508.0,654.0
1999,D,4,614841.0,455328.0,423150.0,32178.0,159513.0,166.5,152.2,14.3,19.9,152538.0,152063.0,1326.0,1800.0
1999,D,M,427146.3333333333,351525.3333333333,329181.0,22344.333333333332,75621.0,171.26666666666665,158.93333333333334,12.333333333333334,21.0,3592835.0,3590538.0,61917.0,65089.0
1999,D,T,389842.0,330670.0,312495.0,18175.0,59172.0,171.2,160.6,10.6,21.2,3745373.0,3742602.0,63243.0,66889.0
1999,E,4,522694.0,385786.0,341505.0,44281.0,136908.0,162.6,147.1,15.5,19.0,2266171.0,2259709.0,17994.0,24425.0
1999,E,M,362071.6666666667,296400.6666666667,272895.0,23505.666666666668,65671.0,170.1,157.23333333333332,12.866666666666667,20.433333333333334,6695785.0,6682014.0,69073.0,83466.0
1999,E,T,404453.0,319904.0,290891.0,29013.0,84549.0,168.1,154.5,13.6,20.1,8961955.0,8941723.0,87067.0,107890.0
1999,F,4,678759.0,472634.0,421622.0,51012.0,206125.0,156.9,143.3,13.6,18.9,38922.0,38578.0,439.0,782.0
1999,F,M,584453.3333333334,423276.3333333333,386664.6666666667,36611.666666666664,161177.0,154.1,144.73333333333335,9.366666666666667,19.0,279345.0,279528.0,3598.0,3426.0
1999,F,T,604816.0,434910.0,394906.0,40004.0,169906.0,153.8,143.6,10.2,18.9,318267.0,318107.0,4037.0,4208.0
1999,TL,4,546388.0,401853.0,362431.0,39422.0,144535.0,161.3,147.2,14.1,19.4,4205870.0,4196757.0,44201.0,53273.0
