年,産業分類,労働者数,増加労働者数,減少労働者数,パートタイム労働者数,労働者数割合
2012,K,516710.0,8392.0,8443.0,,1.583
2012,L,1174898.0,17025.0,18205.0,,3.599
2012,M,957394.0,22466.0,23449.0,,2.933
2012,N,961704.0,18542.0,20081.0,,2.946
2012,O,2005802.0,29546.0,29423.0,,6.145
2012,P,4202267.0,67697.0,63445.0,,12.874
2012,Q,291695.0,4773.0,5033.0,,0.894
2012,R,2404207.0,47249.0,51162.0,,7.365
2012,TL,32642304.0,472482.0,497797.0,,100.0
2013,C,20599.0,235.0,234.0,,0.063
2013,D,2511858.0,34338.0,33459.0,,7.705
2013,E,6957480.0,66953.0,73797.0,,21.341
2013,F,270568.0,2920.0,3742.0,,0.83
2013,G,1368204.0,18279.0,17255.0,,4.197
2013,H,2620837.0,35524.0,37048.0,,8.039
2013,I,5008261.0,69562.0,74897.0,,15.362
2013,J,1228603.0,24553.0,25712.0,,3.768
2013,K,543362.0,9485.0,8891.0,,1.667
2013,L,1195096.0,16797.0,16950.0,,3.666
2013,M,958336.0,24176.0,25448.0,,2.939
2013,N,937251.0,19501.0,20985.0,,2.875
2013,O,1998517.0,31902.0,29599.0,,6.13
2013,P,4257602.0,64822.0,61259.0,,13.059
2013,Q,285978.0,4857.0,5161.0,,0.877
2013,R,2439618.0,49698.0,49566.0,,7.483
2013,TL,32602169.0,473602.0,484001.0,,100.0
2014,C,21068.0,322.0,287.0,,0.064
2014,D,2572209.0,32235.0,30964.0,,7.811
2014,E,6902263.0,66234.0,69753.0,,20.961
2014,F,265467.0,3563.0,3705.0,,0.806
2014,G,1399944.0,18789.0,17064.0,,4.251
2014,H,2605393.0,34621.0,33406.0,,7.912
2014,I,5045374.0,72076.0,73033.0,,15.322
2014,J,1231937.0,22696.0,22531.0,,3.741
2014,K,553607.0,10130.0,9415.0,,1.681
2014,L,1196789.0,16303.0,15851.0,,3.634
2014,M,1028253.0,24732.0,26349.0,,3.123
2014,N,932509.0,19829.0,20578.0,,2.832
2014,O,2026787.0,28736.0,27645.0,,6.155
2014,P,4390786.0,63365.0,60790.0,,13.334
2014,Q,288893.0,4605.0,4755.0,,0.877
2014,R,2467918.0,52813.0,48885.0,,7.495
2014,TL,32929193.0,471049.0,465011.0,,100.0
2015,C,19702.0,172.0,292.0,,0.059
2015,D,2655404.0,31368.0,31235.0,,7.985
2015,E,6882998.0,67299.0,66738.0,,20.698
2015,F,266923.0,3849.0,4088.0,,0.803
2015,G,1422033.0,21577.0,21048.0,,4.276
2015,H,2672527.0,35428.0,33843.0,,8.037
2015,I,4931646.0,76269.0,75353.0,,14.83
2015,J,1257917.0,22647.0,21872.0,,3.783
2015,K,538199.0,9177.0,9376.0,,1.618
2015,L,1204670.0,14831.0,13868.0,,3.623
2015,M,1046758.0,25046.0,26472.0,,3.148
2015,N,893689.0,18887.0,19315.0,,2.687
2015,O,2054597.0,34439.0,31177.0,,6.179
